
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    10.51.4.206:59836      10.225.11.1:10123      ESTABLISHED     11064
  TCP    10.51.4.206:60030      10.225.22.1:445        ESTABLISHED     4
  TCP    10.51.4.206:60138      10.225.51.105:16001    ESTABLISHED     21116
  TCP    10.51.4.206:61880      10.2.61.2:16006        ESTABLISHED     19660
  TCP    10.51.4.206:62183      170.72.245.150:443     ESTABLISHED     16828
  TCP    10.51.4.206:62214      44.192.202.21:4244     ESTABLISHED     16676
  TCP    10.51.4.206:62252      20.199.120.182:443     ESTABLISHED     5976
  TCP    10.51.4.206:62354      191.238.73.135:9354    ESTABLISHED     13732
  TCP    10.51.4.206:62617      10.2.61.2:16006        ESTABLISHED     31572
  TCP    10.51.4.206:64371      10.226.5.51:8080       ESTABLISHED     30188
  TCP    127.0.0.1:1434         0.0.0.0:0              LISTENING       6328
  TCP    127.0.0.1:1522         127.0.0.1:61109        FIN_WAIT_2      32972
  TCP    127.0.0.1:1522         127.0.0.1:61110        FIN_WAIT_2      32972
  TCP    127.0.0.1:1522         127.0.0.1:61563        FIN_WAIT_2      32972
  TCP    127.0.0.1:1522         127.0.0.1:61564        FIN_WAIT_2      32972
  TCP    127.0.0.1:4767         0.0.0.0:0              LISTENING       5732
  TCP    127.0.0.1:4767         127.0.0.1:50685        ESTABLISHED     5732
  TCP    127.0.0.1:5000         0.0.0.0:0              LISTENING       10332
  TCP    127.0.0.1:5244         0.0.0.0:0              LISTENING       32420
  TCP    127.0.0.1:5939         0.0.0.0:0              LISTENING       5964
  TCP    127.0.0.1:7135         0.0.0.0:0              LISTENING       32420
  TCP    127.0.0.1:30523        0.0.0.0:0              LISTENING       11536
  TCP    127.0.0.1:42477        0.0.0.0:0              LISTENING       24716
  TCP    127.0.0.1:45112        0.0.0.0:0              LISTENING       16676
  TCP    127.0.0.1:50570        0.0.0.0:0              LISTENING       11536
  TCP    127.0.0.1:50662        0.0.0.0:0              LISTENING       14364
  TCP    127.0.0.1:50685        127.0.0.1:4767         ESTABLISHED     17240
  TCP    127.0.0.1:50712        127.0.0.1:50713        ESTABLISHED     16676
  TCP    127.0.0.1:50713        127.0.0.1:50712        ESTABLISHED     16676
  TCP    127.0.0.1:50714        127.0.0.1:50715        ESTABLISHED     16676
  TCP    127.0.0.1:50715        127.0.0.1:50714        ESTABLISHED     16676
  TCP    127.0.0.1:50824        127.0.0.1:50825        ESTABLISHED     16676
  TCP    127.0.0.1:50825        127.0.0.1:50824        ESTABLISHED     16676
  TCP    127.0.0.1:50826        127.0.0.1:50827        ESTABLISHED     16676
  TCP    127.0.0.1:50827        127.0.0.1:50826        ESTABLISHED     16676
  TCP    127.0.0.1:53057        0.0.0.0:0              LISTENING       25020
  TCP    127.0.0.1:53184        0.0.0.0:0              LISTENING       25020
  TCP    127.0.0.1:53184        127.0.0.1:61368        ESTABLISHED     25020
  TCP    127.0.0.1:53189        0.0.0.0:0              LISTENING       28032
  TCP    127.0.0.1:53189        127.0.0.1:56976        ESTABLISHED     28032
  TCP    127.0.0.1:53296        0.0.0.0:0              LISTENING       25020
  TCP    127.0.0.1:53465        0.0.0.0:0              LISTENING       25020
  TCP    127.0.0.1:53465        127.0.0.1:61364        ESTABLISHED     25020
  TCP    127.0.0.1:53513        0.0.0.0:0              LISTENING       25020
  TCP    127.0.0.1:53513        127.0.0.1:55255        ESTABLISHED     25020
  TCP    127.0.0.1:53566        0.0.0.0:0              LISTENING       25020
  TCP    127.0.0.1:53687        0.0.0.0:0              LISTENING       25020
  TCP    127.0.0.1:53687        127.0.0.1:55261        ESTABLISHED     25020
  TCP    127.0.0.1:53721        0.0.0.0:0              LISTENING       25020
  TCP    127.0.0.1:53796        0.0.0.0:0              LISTENING       28032
  TCP    127.0.0.1:53796        127.0.0.1:56982        ESTABLISHED     28032
  TCP    127.0.0.1:55255        127.0.0.1:53513        ESTABLISHED     38244
  TCP    127.0.0.1:55261        127.0.0.1:53687        ESTABLISHED     21304
  TCP    127.0.0.1:56976        127.0.0.1:53189        ESTABLISHED     4852
  TCP    127.0.0.1:56982        127.0.0.1:53796        ESTABLISHED     30868
  TCP    127.0.0.1:58224        0.0.0.0:0              LISTENING       21032
  TCP    127.0.0.1:61109        127.0.0.1:1522         CLOSE_WAIT      21032
  TCP    127.0.0.1:61110        127.0.0.1:1522         CLOSE_WAIT      21032
  TCP    127.0.0.1:61364        127.0.0.1:53465        ESTABLISHED     25168
  TCP    127.0.0.1:61368        127.0.0.1:53184        ESTABLISHED     23136
  TCP    127.0.0.1:61563        127.0.0.1:1522         CLOSE_WAIT      21032
  TCP    127.0.0.1:61564        127.0.0.1:1522         CLOSE_WAIT      21032
  TCP    127.0.0.1:62137        127.0.0.1:62138        ESTABLISHED     29644
  TCP    127.0.0.1:62138        127.0.0.1:62137        ESTABLISHED     29644
  TCP    127.0.0.1:62139        127.0.0.1:62140        ESTABLISHED     29644
  TCP    127.0.0.1:62140        127.0.0.1:62139        ESTABLISHED     29644
  TCP    127.0.0.1:62141        127.0.0.1:62142        ESTABLISHED     29644
  TCP    127.0.0.1:62142        127.0.0.1:62141        ESTABLISHED     29644
  TCP    127.0.0.1:62143        127.0.0.1:62144        ESTABLISHED     29644
  TCP    127.0.0.1:62144        127.0.0.1:62143        ESTABLISHED     29644
  TCP    127.0.0.1:62145        127.0.0.1:62146        ESTABLISHED     29644
  TCP    127.0.0.1:62146        127.0.0.1:62145        ESTABLISHED     29644
  TCP    127.0.0.1:62167        127.0.0.1:62168        ESTABLISHED     29644
  TCP    127.0.0.1:62168        127.0.0.1:62167        ESTABLISHED     29644
  TCP    127.0.0.1:65001        127.0.0.1:65002        ESTABLISHED     5964
